Date,Gold,Bitcoin,Oil,S&P 500
2022-08-02,1771.1,22978.117,94.42,4091.19
2022-08-03,1758.0,22846.508,90.66,4155.17
2022-08-04,1788.5,22630.957,88.54,4151.94
2022-08-05,1772.9,23289.314,89.01,4145.19
2022-08-08,1786.8,23809.486,90.76,4140.06
2022-08-09,1794.0,23164.318,90.5,4122.47
2022-08-10,1795.6,23947.643,91.93,4210.24
2022-08-11,1789.7,23957.529,94.34,4207.27
2022-08-12,1798.6,24402.818,92.09,4280.15
2022-08-15,1781.4,24136.973,89.41,4297.14
2022-08-16,1773.2,23883.291,86.53,4305.2
2022-08-17,1760.3,23335.998,88.11,4274.04
2022-08-18,1755.3,23212.738,90.5,4283.74
2022-08-19,1747.6,20877.553,90.77,4228.48
2022-08-22,1734.0,21398.908,90.23,4137.99
2022-08-23,1746.8,21528.088,93.74,4128.73
2022-08-24,1747.8,21395.02,94.89,4140.77
2022-08-25,1757.7,21600.904,92.52,4199.12
2022-08-26,1736.1,20260.02,93.06,4057.66
2022-08-29,1736.6,20297.994,97.01,4030.61
2022-08-30,1723.2,19796.809,91.64,3986.16
2022-08-31,1712.8,20049.764,89.55,3955.0
2022-09-01,1696.6,20127.141,86.61,3966.85
2022-09-02,1709.8,19969.771,86.87,3924.26
2022-09-06,1700.4,18837.668,86.88,3908.19
2022-09-07,1715.3,19290.324,81.94,3979.87
2022-09-08,1708.0,19329.834,83.54,4006.18
2022-09-09,1716.2,21381.152,86.79,4067.36
2022-09-12,1728.1,22370.449,87.78,4110.41
2022-09-13,1705.0,20296.707,87.31,3932.69
2022-09-14,1696.5,20241.09,88.48,3946.01
2022-09-15,1665.4,19701.211,85.1,3901.35
2022-09-16,1671.7,19772.584,85.11,3873.33
2022-09-19,1666.2,19544.129,85.73,3899.89
2022-09-20,1659.7,18890.789,84.45,3855.93
2022-09-21,1664.6,18547.4,82.94,3789.93
2022-09-22,1670.8,19413.551,83.49,3757.99
2022-09-23,1645.3,19297.639,78.74,3693.23
2022-09-26,1623.3,19222.672,76.71,3655.04
2022-09-27,1626.7,19110.547,78.5,3647.29
2022-09-28,1660.4,19426.721,82.15,3719.04
2022-09-29,1658.5,19573.051,81.23,3640.47
2022-09-30,1662.4,19431.789,79.49,3585.62
2022-10-03,1692.9,19623.58,83.63,3678.43
2022-10-04,1721.1,20336.844,86.52,3790.93
2022-10-05,1711.4,20160.717,87.76,3783.28
2022-10-06,1711.7,19955.443,88.45,3744.52
2022-10-07,1700.5,19546.85,92.64,3639.66
2022-10-10,1667.3,19141.484,91.13,3612.39
2022-10-11,1678.7,19051.418,89.35,3588.84
2022-10-12,1670.3,19157.445,87.27,3577.03
2022-10-13,1670.0,19382.904,89.11,3669.91
2022-10-14,1641.7,19185.656,85.61,3583.07
2022-10-17,1657.0,19550.758,85.46,3677.95
2022-10-18,1649.0,19334.416,82.82,3719.98
2022-10-19,1627.5,19139.535,85.55,3695.16
2022-10-20,1630.8,19053.74,85.98,3665.78
2022-10-21,1651.0,19172.469,85.05,3752.75
2022-10-24,1648.7,19345.572,84.58,3797.34
2022-10-25,1652.8,20095.857,85.32,3859.11
2022-10-26,1664.0,20770.441,87.91,3830.6
2022-10-27,1660.7,20285.836,89.08,3807.3
2022-10-28,1639.6,20595.352,87.9,3901.06
2022-10-31,1635.9,20495.773,86.53,3871.98
2022-11-01,1645.0,20485.273,88.37,3856.1
2022-11-02,1645.7,20159.504,90.0,3759.69
2022-11-03,1627.3,20209.988,88.17,3719.89
2022-11-04,1672.5,21147.23,92.61,3770.55
2022-11-07,1676.5,20602.816,91.79,3806.8
2022-11-08,1712.1,18541.271,88.91,3828.11
2022-11-09,1710.1,15880.78,85.83,3748.57
2022-11-10,1750.3,17586.771,86.47,3956.37
2022-11-11,1766.0,17034.293,88.96,3992.93
2022-11-14,1773.6,16618.199,85.87,3957.25
2022-11-15,1773.8,16884.613,86.92,3991.73
2022-11-16,1773.0,16669.439,85.59,3958.79
2022-11-17,1760.8,16687.518,81.64,3946.56
2022-11-18,1751.9,16697.777,80.08,3965.34
2022-11-21,1737.4,15787.284,79.73,3949.94
2022-11-22,1738.3,16189.77,80.95,4003.58
2022-11-23,1744.9,16610.707,77.94,4027.26
2022-11-25,1753.3,16521.842,76.28,4026.12
2022-11-28,1740.1,16217.322,77.24,3963.94
2022-11-29,1748.4,16444.982,78.2,3957.63
2022-11-30,1746.0,17168.566,80.55,4080.11
2022-12-01,1801.1,16967.133,81.22,4076.57
2022-12-02,1795.9,17088.66,79.98,4071.7
2022-12-05,1767.4,16974.826,76.93,3998.84
2022-12-06,1769.3,17089.504,74.25,3941.26
2022-12-07,1785.5,16848.127,72.01,3933.92
2022-12-08,1788.7,17233.475,71.46,3963.51
2022-12-09,1798.1,17133.152,71.02,3934.38
2022-12-12,1780.5,17206.438,73.17,3990.56
2022-12-13,1813.9,17781.318,75.39,4019.65
2022-12-14,1807.5,17815.65,77.28,3995.32
2022-12-15,1777.2,17364.865,76.11,3895.75
2022-12-16,1790.0,16647.484,74.29,3852.36
2022-12-19,1787.7,16439.68,75.19,3817.66
2022-12-20,1815.9,16906.305,76.09,3821.62
2022-12-21,1815.9,16817.535,78.29,3878.44
2022-12-22,1787.0,16830.342,77.49,3822.39
2022-12-23,1795.9,16796.953,79.56,3844.82
2022-12-27,1814.8,16717.174,79.53,3829.25
2022-12-28,1807.9,16552.572,78.96,3783.22
2022-12-29,1819.5,16642.342,78.4,3849.28
2022-12-30,1819.7,16602.586,80.26,3839.5
2023-01-03,1839.7,16679.857,76.93,3824.14
2023-01-04,1852.8,16863.238,72.84,3852.97
2023-01-05,1834.8,16836.736,73.67,3808.1
2023-01-06,1864.2,16951.969,73.77,3895.08
2023-01-09,1872.7,17196.555,74.63,3892.09
2023-01-10,1871.6,17446.293,75.12,3919.25
2023-01-11,1874.6,17934.896,77.41,3969.61
2023-01-12,1895.5,18869.588,78.39,3983.17
2023-01-13,1918.4,19909.574,79.86,3999.09
2023-01-17,1907.2,21161.52,80.18,3990.97
2023-01-18,1904.4,20688.781,79.48,3928.86
2023-01-19,1922.1,21086.793,80.33,3898.85
2023-01-20,1926.4,22676.553,81.31,3972.61
2023-01-23,1927.1,22934.432,81.62,4019.81
2023-01-24,1933.9,22636.469,80.13,4016.95
2023-01-25,1941.2,23117.859,80.15,4016.22
2023-01-26,1929.1,23032.777,81.01,4060.43
2023-01-27,1928.6,23078.729,79.68,4070.56
2023-01-30,1922.9,22840.139,77.9,4017.77
2023-01-31,1929.5,23139.283,78.87,4076.6
2023-02-01,1927.8,23723.77,76.41,4119.21
2023-02-02,1916.3,23471.871,75.88,4179.76
2023-02-03,1862.9,23449.322,73.39,4136.48
2023-02-06,1866.2,22760.109,74.11,4111.08
2023-02-07,1871.7,23264.291,77.14,4164.0
2023-02-08,1877.4,22939.398,78.47,4117.86
2023-02-09,1866.2,21819.039,78.06,4081.5
2023-02-10,1862.8,21651.184,79.72,4090.46
2023-02-13,1851.9,21808.102,80.14,4137.29
2023-02-14,1854.0,22220.805,79.06,4136.13
2023-02-15,1834.2,24307.842,78.59,4147.6
2023-02-16,1842.0,23623.475,78.49,4090.41
2023-02-17,1840.4,24565.602,76.34,4079.09
2023-02-21,1833.0,24436.354,76.16,3997.34
2023-02-22,1832.0,24188.844,73.95,3991.05
2023-02-23,1818.0,23947.492,75.39,4012.32
2023-02-24,1808.8,23198.127,76.32,3970.04
2023-02-27,1817.0,23522.871,75.68,3982.24
2023-02-28,1828.9,23147.354,77.05,3970.15
2023-03-01,1837.7,23646.551,77.69,3951.39
2023-03-02,1833.5,23475.467,78.16,3981.35
2023-03-03,1847.7,22362.68,79.68,4045.64
2023-03-06,1847.9,22429.758,80.46,4048.42
2023-03-07,1813.9,22219.77,77.58,3986.37
2023-03-08,1812.7,21718.08,76.66,3992.01
2023-03-09,1829.3,20363.021,75.72,3918.32
2023-03-10,1862.0,20187.244,76.68,3861.59
2023-03-13,1911.7,24197.533,74.8,3855.76
2023-03-14,1906.2,24746.074,71.33,3919.29
2023-03-15,1926.6,24375.961,67.61,3891.93
2023-03-16,1919.0,25052.789,68.35,3960.28
2023-03-17,1969.8,27423.93,66.74,3916.64
2023-03-20,1979.2,27767.236,67.64,3951.57
2023-03-21,1938.0,28175.816,69.33,4002.87
2023-03-22,1946.8,27307.438,70.9,3936.97
2023-03-23,1993.8,28333.973,69.96,3948.72
2023-03-24,1982.1,27493.285,69.26,3970.99
2023-03-27,1952.4,27139.889,72.81,3977.53
2023-03-28,1972.4,27268.131,73.2,3971.27
2023-03-29,1966.1,28348.441,72.97,4027.81
2023-03-30,1980.3,28033.562,74.37,4050.83
2023-03-31,1969.0,28478.484,75.67,4109.31
2023-04-03,1983.9,27790.221,80.42,4124.51
2023-04-04,2022.2,28168.09,80.71,4100.6
2023-04-05,2020.9,28177.984,80.61,4090.38
2023-04-06,2011.9,28044.141,80.7,4105.02
2023-04-10,1989.1,29652.98,79.74,4109.11
2023-04-11,2004.8,30235.059,81.53,4108.94
2023-04-12,2010.9,30139.053,83.26,4091.95
2023-04-13,2041.3,30399.066,82.16,4146.22
2023-04-14,2002.2,30485.699,82.52,4137.64
2023-04-17,1994.2,29445.045,80.83,4151.32
2023-04-18,2007.4,30397.553,80.86,4154.87
2023-04-19,1995.2,28822.68,79.16,4154.52
2023-04-20,2007.6,28245.988,77.29,4129.79
2023-04-21,1979.5,27276.91,77.87,4133.52
2023-04-24,1989.1,27525.34,78.76,4137.04
2023-04-25,1994.0,28307.598,77.07,4071.63
2023-04-26,1985.7,28422.701,74.3,4055.99
2023-04-27,1989.9,29473.787,74.76,4135.35
2023-04-28,1990.1,29340.262,76.78,4169.48
2023-05-01,1983.4,28091.568,75.66,4167.87
2023-05-02,2014.3,28680.537,71.66,4119.58
2023-05-03,2028.6,29006.309,68.6,4090.75
2023-05-04,2048.0,28847.711,68.56,4061.22
2023-05-05,2017.4,29534.385,71.34,4136.25
2023-05-08,2026.3,27694.273,73.16,4138.12
2023-05-09,2036.2,27658.775,73.71,4119.17
2023-05-10,2030.5,27621.756,72.56,4137.64
2023-05-11,2014.7,27000.789,70.87,4130.62
2023-05-12,2014.5,26804.99,70.04,4124.08
2023-05-15,2018.0,27192.693,71.11,4136.28
2023-05-16,1988.4,27036.65,70.86,4109.9
2023-05-17,1980.7,27398.803,72.83,4158.77
2023-05-18,1956.5,26832.209,71.86,4198.05
2023-05-19,1978.7,26890.129,71.55,4191.98
2023-05-22,1974.8,26851.277,71.99,4192.63
2023-05-23,1972.4,27225.727,72.91,4145.58
2023-05-24,1962.8,26334.818,74.34,4115.24
2023-05-25,1943.1,26476.207,71.83,4151.28
2023-05-26,1944.1,26719.291,72.67,4205.45
2023-05-30,1958.0,27702.35,69.46,4205.52
2023-05-31,1963.9,27219.658,68.09,4179.83
2023-06-01,1978.0,26819.973,70.1,4221.02
2023-06-02,1952.4,27249.59,71.74,4282.37
2023-06-05,1958.0,25760.098,72.15,4273.79
2023-06-06,1965.5,27238.783,71.74,4283.85
2023-06-07,1942.7,26345.998,72.53,4267.52
2023-06-08,1963.6,26508.217,71.29,4293.93
2023-06-09,1962.2,26480.375,70.17,4298.86
2023-06-12,1955.3,25902.5,67.12,4338.93
2023-06-13,1944.6,25918.729,69.42,4369.01
2023-06-14,1955.3,25124.676,68.27,4372.59
2023-06-15,1957.8,25576.395,70.62,4425.84
2023-06-16,1958.4,26327.463,71.78,4409.59
2023-06-20,1935.5,28327.488,70.5,4388.71
2023-06-21,1933.3,30027.297,72.53,4365.69
2023-06-22,1912.7,29912.281,69.51,4381.89
2023-06-23,1919.1,30695.469,69.16,4348.33
2023-06-26,1923.7,30271.131,69.37,4328.82
2023-06-27,1914.0,30688.164,67.7,4378.41
2023-06-28,1912.3,30086.246,69.56,4376.86
2023-06-29,1909.2,30445.352,69.86,4396.44
2023-06-30,1921.1,30477.252,70.64,4450.38
2023-07-03,1921.7,31156.439,69.79,4455.59
2023-07-05,1919.6,30514.166,71.79,4446.82
2023-07-06,1908.7,29909.338,71.8,4411.59
2023-07-07,1926.2,30342.266,73.86,4398.95
2023-07-10,1925.0,30414.471,72.99,4409.53
2023-07-11,1931.3,30620.951,74.83,4439.26
2023-07-12,1956.2,30391.646,75.75,4472.16
2023-07-13,1959.2,31476.049,76.89,4510.04
2023-07-14,1960.1,30334.068,75.42,4505.42
2023-07-17,1952.4,30145.889,74.15,4522.79
2023-07-18,1977.2,29856.562,75.75,4554.98
2023-07-19,1977.5,29913.924,75.35,4565.72
2023-07-20,1968.3,29792.016,75.63,4534.87
2023-07-21,1964.3,29908.744,77.07,4536.34
2023-07-24,1960.3,29176.916,78.74,4554.64
2023-07-25,1962.1,29227.391,79.63,4567.46
2023-07-26,1968.9,29354.973,78.78,4566.75
2023-07-27,1945.4,29210.689,80.09,4537.41
2023-07-28,1960.4,29319.246,80.58,4582.23
2023-07-31,1970.5,29230.111,81.8,4588.96
2023-08-01,1940.7,29675.732,81.37,4576.73
2023-08-02,1937.4,29151.959,79.49,4513.39
2023-08-03,1932.0,29178.68,81.55,4501.89
2023-08-04,1939.6,29074.092,82.82,4478.03
2023-08-07,1933.5,29180.578,81.94,4518.44
2023-08-08,1924.1,29765.492,82.92,4499.38
2023-08-09,1915.4,29561.494,84.4,4467.71
2023-08-10,1914.4,29429.592,82.82,4468.83
2023-08-11,1912.9,29397.715,83.19,4464.05
2023-08-14,1910.6,29408.443,82.51,4489.72
2023-08-15,1902.5,29170.348,80.99,4437.86
2023-08-16,1896.1,28701.779,79.38,4404.33
2023-08-17,1884.1,26664.551,80.39,4370.36
2023-08-18,1886.1,26049.557,81.25,4369.71
2023-08-21,1893.3,26124.141,80.72,4399.77
2023-08-22,1896.4,26031.656,80.35,4387.55
2023-08-23,1918.5,26431.641,78.89,4436.01
2023-08-24,1918.2,26162.373,79.05,4376.31
2023-08-25,1911.1,26047.668,79.83,4405.71
2023-08-28,1917.9,26106.15,80.1,4433.31
2023-08-29,1936.5,27727.393,81.16,4497.63
2023-08-30,1944.3,27297.266,81.63,4514.87
2023-08-31,1938.2,25931.473,83.63,4507.66
2023-09-01,1939.8,25800.725,85.55,4515.77
2023-09-05,1926.2,25779.982,86.69,4496.83
2023-09-06,1918.1,25753.236,87.54,4465.48
2023-09-07,1917.5,26240.195,86.87,4451.14
2023-09-08,1918.4,25905.654,87.51,4457.49
2023-09-11,1923.3,25162.654,87.29,4487.46
2023-09-12,1911.3,25833.344,88.84,4461.9
2023-09-13,1909.1,26228.324,88.52,4467.44
2023-09-14,1910.0,26539.674,90.16,4505.1
2023-09-15,1923.7,26608.693,90.77,4450.32
2023-09-18,1931.5,26754.281,91.48,4453.53
2023-09-19,1932.0,27211.117,91.2,4443.95
2023-09-20,1945.6,27132.008,90.28,4402.2
2023-09-21,1919.2,26567.633,89.63,4330.0
2023-09-22,1925.4,26579.568,90.03,4320.06
2023-09-25,1916.6,26298.48,89.68,4337.44
2023-09-26,1900.4,26217.25,90.39,4273.53
2023-09-27,1871.6,26352.717,93.68,4274.51
2023-09-28,1860.4,27021.547,91.71,4299.7
2023-09-29,1848.1,26911.721,90.79,4288.05
2023-10-02,1830.0,27530.785,88.82,4288.39
2023-10-03,1824.6,27429.979,89.23,4229.45
2023-10-04,1818.5,27799.395,84.22,4263.75
2023-10-05,1816.6,27415.912,82.31,4258.19
2023-10-06,1830.2,27946.598,82.79,4308.5
2023-10-09,1849.5,27583.678,86.38,4335.66
2023-10-10,1861.0,27391.02,85.97,4358.24
2023-10-11,1872.8,26873.32,83.49,4376.95
2023-10-12,1869.3,26756.799,82.91,4349.61
2023-10-13,1927.4,26862.375,87.69,4327.78
2023-10-16,1921.1,28519.467,86.66,4373.63
2023-10-17,1922.7,28415.748,86.66,4373.2
2023-10-18,1955.3,28328.342,88.32,4314.6
2023-10-19,1968.4,28719.807,89.37,4278.0
2023-10-20,1982.5,29682.949,88.75,4224.16
2023-10-23,1976.3,33086.234,85.49,4217.04
2023-10-24,1975.0,33901.527,83.74,4247.68
2023-10-25,1984.1,34502.82,85.39,4186.77
2023-10-26,1987.2,34156.648,83.21,4137.23
2023-10-27,1988.6,33909.801,85.54,4117.37
2023-10-30,1996.2,34502.363,82.31,4166.82
2023-10-31,1985.2,34667.781,81.02,4193.8
2023-11-01,1978.8,35437.254,80.44,4237.86
2023-11-02,1985.6,34938.242,82.46,4317.78
2023-11-03,1991.5,34732.324,80.51,4358.34
2023-11-06,1981.6,35037.371,80.82,4365.98
2023-11-07,1966.8,35443.562,77.37,4378.38
2023-11-08,1951.5,35655.277,75.33,4382.78
2023-11-09,1964.2,36693.125,75.74,4347.35
2023-11-10,1932.6,37313.969,77.17,4415.24
2023-11-13,1945.5,36502.355,78.26,4411.55
2023-11-14,1961.8,35537.641,78.26,4495.7
2023-11-15,1960.1,37880.582,76.66,4502.88
2023-11-16,1983.9,36154.77,72.9,4508.24
2023-11-17,1981.6,36596.684,75.89,4514.02
2023-11-20,1977.7,37476.957,77.6,4547.38
2023-11-21,1999.3,35813.812,77.77,4538.19
2023-11-22,1991.4,37432.34,77.1,4556.62
2023-11-24,2002.2,37720.281,75.54,4559.34
2023-11-27,2011.8,37254.168,74.86,4550.43
2023-11-28,2039.7,37831.086,76.41,4554.89
2023-11-29,2047.1,37858.492,77.86,4550.58
2023-11-30,2038.1,37712.746,75.96,4567.8
2023-12-01,2071.0,38688.75,74.07,4594.63
2023-12-04,2024.1,41980.098,73.04,4569.78
2023-12-05,2018.5,44080.648,72.32,4567.18
2023-12-06,2030.5,43746.445,69.38,4549.34
2023-12-07,2029.9,43292.664,69.34,4585.59
2023-12-08,1998.3,44166.602,71.23,4604.37
2023-12-11,1978.0,41243.832,71.32,4622.44
2023-12-12,1977.8,41450.223,68.61,4643.7
2023-12-13,1982.3,42890.742,69.47,4707.09
2023-12-14,2030.2,43023.973,71.58,4719.55
2023-12-15,2021.1,41929.758,71.43,4719.19
2023-12-18,2026.3,42623.539,72.47,4740.56
2023-12-19,2038.4,42270.527,73.44,4768.37
2023-12-20,2034.5,43652.25,74.22,4698.35
2023-12-21,2039.1,43869.152,73.89,4746.75
2023-12-22,2057.1,43997.902,73.56,4754.63
2023-12-26,2058.2,42520.402,75.57,4774.75
2023-12-27,2081.9,43442.855,74.11,4781.58
2023-12-28,2073.9,42627.855,71.77,4783.35
2023-12-29,2062.4,42099.402,71.65,4769.83
2024-01-02,2064.4,44957.969,70.38,4742.83
2024-01-03,2034.2,42848.176,72.7,4704.81
2024-01-04,2042.3,44179.922,72.19,4688.68
2024-01-05,2042.4,44162.691,73.81,4697.24
2024-01-08,2026.6,46970.504,70.77,4763.54
2024-01-09,2026.4,46139.73,72.24,4756.5
2024-01-10,2021.7,46627.777,71.37,4783.45
2024-01-11,2014.3,46368.586,72.02,4780.24
2024-01-12,2046.7,42853.168,72.68,4783.83
2024-01-16,2026.0,43154.945,72.4,4765.98
2024-01-17,2002.6,42742.652,72.56,4739.21
2024-01-18,2018.6,41262.059,74.08,4780.94
2024-01-19,2026.5,41618.406,73.41,4839.81
2024-01-22,2019.8,39507.367,75.19,4850.43
2024-01-23,2023.7,39845.551,74.37,4864.6
2024-01-24,2013.9,40077.074,75.09,4868.55
2024-01-25,2016.9,39933.809,77.36,4894.16
2024-01-26,2016.8,41816.871,78.01,4890.97
2024-01-29,2025.2,43288.246,76.78,4927.93
2024-01-30,2031.5,42952.609,77.82,4924.97
2024-01-31,2048.4,42582.605,75.85,4845.65
2024-02-01,2053.0,43075.773,73.82,4906.19
2024-02-02,2036.1,43185.859,72.28,4958.61
2024-02-05,2025.7,42658.668,72.78,4942.81
2024-02-06,2034.5,43084.672,73.31,4954.23
2024-02-07,2035.2,44318.223,73.86,4995.06
2024-02-08,2032.2,45301.566,76.22,4997.91
2024-02-09,2023.3,47147.199,76.84,5026.61
2024-02-12,2018.2,49958.223,76.92,5021.84
2024-02-13,1992.9,49742.441,77.87,4953.17
2024-02-14,1990.3,51826.695,76.64,5000.62
2024-02-15,2002.1,51938.555,78.03,5029.73
2024-02-16,2011.5,52160.203,79.19,5005.57
2024-02-20,2027.5,52284.875,78.18,4975.51
2024-02-21,2022.3,51839.18,77.91,4981.8
2024-02-22,2019.7,51304.973,78.61,5087.03
2024-02-23,2038.6,50731.949,76.49,5088.8
2024-02-26,2028.5,54522.402,77.58,5069.53
2024-02-27,2034.0,57085.371,78.87,5078.18
2024-02-28,2033.0,62504.789,78.54,5069.76
2024-02-29,2045.7,61198.383,78.26,5096.27
2024-03-01,2086.9,62440.633,79.97,5137.08
